,batch_num,percent_correct
0,0.0,0.0625
1,50.0,0.125
2,100.0,0.15625
3,150.0,0.15625
4,200.0,0.1875
5,250.0,0.25
6,300.0,0.1875
7,350.0,0.15625
8,400.0,0.15625
9,450.0,0.21875
10,500.0,0.1875
11,550.0,0.078125
12,600.0,0.1875
13,650.0,0.203125
14,700.0,0.15625
15,750.0,0.203125
16,800.0,0.203125
17,850.0,0.1875
18,900.0,0.109375
19,950.0,0.125
20,1000.0,0.25
21,1050.0,0.125
22,1100.0,0.15625
23,1150.0,0.0625
24,1200.0,0.15625
25,1250.0,0.140625
26,1300.0,0.125
27,1350.0,0.171875
28,1400.0,0.203125
29,1450.0,0.234375
30,1500.0,0.15625
31,1550.0,0.109375
32,1600.0,0.1875
33,1650.0,0.140625
34,1700.0,0.125
35,1750.0,0.109375
36,1800.0,0.140625
37,1850.0,0.078125
38,1900.0,0.140625
39,1950.0,0.171875
40,2000.0,0.109375
41,2050.0,0.203125
42,2100.0,0.125
43,2150.0,0.09375
44,2200.0,0.1875
45,2250.0,0.15625
46,2300.0,0.171875
47,2350.0,0.234375
48,2400.0,0.125
49,2450.0,0.21875
50,2500.0,0.125
51,2550.0,0.171875
52,2600.0,0.15625
53,2650.0,0.140625
54,2700.0,0.15625
55,2750.0,0.203125
56,2800.0,0.078125
57,2850.0,0.203125
58,2900.0,0.09375
59,2950.0,0.171875
60,3000.0,0.09375
61,3050.0,0.234375
62,3100.0,0.140625
63,3150.0,0.25
64,3200.0,0.15625
65,3250.0,0.140625
66,3300.0,0.25
67,3350.0,0.1875
68,3400.0,0.109375
69,3450.0,0.25
70,3500.0,0.140625
71,3550.0,0.140625
72,3600.0,0.1875
73,3650.0,0.171875
74,3700.0,0.140625
75,3750.0,0.046875
76,3800.0,0.125
77,3850.0,0.21875
78,3900.0,0.21875
79,3950.0,0.25
80,4000.0,0.140625
81,4050.0,0.078125
82,4100.0,0.140625
83,4150.0,0.140625
84,4200.0,0.1875
85,4250.0,0.15625
86,4300.0,0.15625
87,4350.0,0.171875
88,4400.0,0.140625
89,4450.0,0.140625
90,4500.0,0.09375
91,4550.0,0.140625
92,4600.0,0.140625
93,4650.0,0.203125
94,4700.0,0.15625
95,4750.0,0.125
96,4800.0,0.140625
97,4850.0,0.109375
98,4900.0,0.125
99,4950.0,0.171875
100,5000.0,0.203125
101,5050.0,0.203125
102,5100.0,0.203125
103,5150.0,0.25
